JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Jacob Toppin,Atlanta Hawks,30,0,4.1,0.6,1.2,0.486,0.2,0.5,0.429,0.1,0.1,1.0,0.2,0.6,0.8,0.3,0.1,0.1,0.1,0.2,1.4,1631210
Jalen Johnson,Atlanta Hawks,200,110,24.4,4.7,9.2,0.512,0.9,2.6,0.333,1.6,2.2,0.728,1.0,5.5,6.5,2.9,1.0,0.6,1.5,1.8,11.9,1630552
Keaton Wallace,Atlanta Hawks,47,7,16.0,2.0,4.9,0.416,1.0,2.7,0.368,0.3,0.4,0.737,0.2,1.4,1.6,2.6,0.9,0.3,1.0,1.4,5.4,1630811
Luke Kennard,Atlanta Hawks,475,121,23.3,3.5,7.6,0.458,1.9,4.5,0.438,0.9,1.0,0.882,0.3,2.5,2.8,2.3,0.6,0.1,1.0,1.3,9.8,1628379
Dyson Daniels,Atlanta Hawks,214,121,26.0,3.6,7.5,0.474,0.7,2.2,0.319,0.7,1.2,0.616,1.2,3.4,4.6,3.4,1.9,0.5,1.5,2.0,8.6,1630700
Nickeil Alexander-Walker,Atlanta Hawks,397,81,21.3,3.2,7.8,0.417,1.5,4.2,0.36,1.0,1.3,0.756,0.4,2.1,2.5,2.4,0.7,0.4,1.2,1.6,9.0,1629638
Kristaps Porziņģis,Atlanta Hawks,512,511,30.7,6.9,14.9,0.462,1.9,5.2,0.365,4.0,4.8,0.83,1.7,6.0,7.7,1.9,0.7,1.8,1.7,3.0,19.6,204001
Zaccharie Risacher,Atlanta Hawks,90,88,24.5,4.7,10.4,0.456,1.6,4.6,0.344,1.3,1.9,0.7,1.1,2.3,3.4,1.3,0.7,0.5,1.1,2.0,12.4,1642258
Trae Young,Atlanta Hawks,488,488,34.3,8.0,18.5,0.432,2.6,7.5,0.351,6.6,7.6,0.873,0.6,2.9,3.5,9.8,1.0,0.2,4.2,1.7,25.2,1629027
N'Faly Dante,Atlanta Hawks,8,0,8.3,1.4,2.1,0.647,0.0,0.0,0.0,0.6,0.8,0.833,1.1,2.4,3.5,0.3,0.4,0.6,0.4,1.3,3.4,1642368
Asa Newell,Atlanta Hawks,11,0,8.1,1.5,3.0,0.485,0.7,1.5,0.471,0.6,0.8,0.778,0.8,0.8,1.6,0.1,0.4,0.3,0.4,1.3,4.3,1642854
Onyeka Okongwu,Atlanta Hawks,324,83,22.9,4.0,6.5,0.605,0.3,1.0,0.344,1.8,2.3,0.757,2.4,4.3,6.7,1.4,0.7,1.1,1.0,2.8,10.0,1630168
Mouhamed Gueye,Atlanta Hawks,57,30,15.9,2.2,5.0,0.435,0.6,2.3,0.271,0.7,1.0,0.724,1.4,2.7,4.1,0.9,0.7,0.9,0.5,1.8,5.7,1631243
Vít Krejčí,Atlanta Hawks,152,39,19.0,2.2,4.6,0.475,1.3,3.1,0.41,0.4,0.6,0.747,0.4,2.0,2.4,1.9,0.5,0.3,0.8,1.8,6.0,1630249
Caleb Houstan,Atlanta Hawks,175,23,14.0,1.3,3.4,0.392,1.1,2.8,0.374,0.3,0.4,0.844,0.5,1.0,1.5,0.5,0.3,0.1,0.3,1.1,4.0,1631216
Jayson Tatum,Boston Celtics,585,585,34.5,8.2,17.8,0.459,2.6,7.1,0.37,4.5,5.4,0.84,0.9,6.5,7.3,3.8,1.1,0.7,2.4,2.1,23.6,1628369
Anfernee Simons,Boston Celtics,406,213,26.7,5.3,12.3,0.431,2.5,6.5,0.382,1.9,2.1,0.879,0.3,2.2,2.5,3.2,0.5,0.1,1.6,1.8,15.0,1629014
Jaylen Brown,Boston Celtics,620,513,30.7,7.2,15.1,0.479,1.9,5.3,0.359,2.9,3.9,0.728,1.0,4.3,5.3,2.7,1.0,0.4,2.2,2.5,19.2,1627759
Josh Minott,Boston Celtics,109,9,7.1,1.1,2.3,0.496,0.3,1.0,0.365,0.5,0.6,0.867,0.4,1.1,1.6,0.5,0.3,0.3,0.2,0.8,3.1,1631169
Derrick White,Boston Celtics,511,395,28.7,4.5,10.2,0.444,1.9,5.3,0.365,2.1,2.5,0.851,0.6,3.1,3.7,4.2,0.8,0.9,1.4,2.1,13.0,1628401
Payton Pritchard,Boston Celtics,364,34,20.8,3.4,7.6,0.453,1.9,4.9,0.394,0.6,0.7,0.851,0.8,2.0,2.8,2.7,0.5,0.1,0.8,1.3,9.4,1630202
Ron Harper Jr.,Boston Celtics,14,0,5.9,0.9,2.2,0.387,0.4,1.5,0.238,0.2,0.2,1.0,0.6,0.6,1.2,0.7,0.0,0.1,0.0,0.5,2.3,1631199
