JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Jacob Toppin,Atlanta Hawks,16,0,3.1,0.2,0.6,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.6,0.7,0.3,0.1,0.0,0.1,0.2,0.4,1631210
Jacob Toppin,Atlanta Hawks,1,0,27.0,6.0,12.0,0.5,5.0,8.0,0.625,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,17.0,1631210
Jacob Toppin,Atlanta Hawks,17,0,4.4,0.5,1.3,0.409,0.3,0.6,0.5,0.0,0.0,0.0,0.2,0.7,0.9,0.4,0.1,0.0,0.2,0.2,1.4,1631210
Jalen Johnson,Atlanta Hawks,36,36,35.7,7.5,15.1,0.5,1.2,3.9,0.312,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,1630552
Keaton Wallace,Atlanta Hawks,31,5,16.2,2.1,5.2,0.401,0.9,2.6,0.329,0.4,0.4,1.0,0.2,1.4,1.6,2.6,0.9,0.3,1.1,1.3,5.4,1630811
Luke Kennard,Atlanta Hawks,65,11,22.6,3.2,6.6,0.478,1.7,4.0,0.433,0.8,0.9,0.895,0.6,2.2,2.8,3.3,0.8,0.1,1.1,0.9,8.9,1628379
Dyson Daniels,Atlanta Hawks,76,76,33.8,6.0,12.1,0.493,1.1,3.1,0.34,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,1630700
Nickeil Alexander-Walker,Atlanta Hawks,82,10,25.3,3.3,7.5,0.438,1.7,4.5,0.381,1.1,1.4,0.78,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,1629638
Kristaps Porziņģis,Atlanta Hawks,42,42,28.8,6.6,13.7,0.483,2.5,6.0,0.412,3.8,4.7,0.809,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,204001
Zaccharie Risacher,Atlanta Hawks,75,73,24.6,4.8,10.4,0.458,1.6,4.6,0.355,1.4,2.0,0.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2.0,12.6,1642258
Trae Young,Atlanta Hawks,76,76,36.0,7.4,18.1,0.411,2.9,8.4,0.34,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,1629027
N'Faly Dante,Atlanta Hawks,4,0,12.8,2.5,3.3,0.769,0.0,0.0,0.0,1.0,1.3,0.8,1.5,3.8,5.3,0.5,0.3,1.3,0.5,2.3,6.0,1642368
Onyeka Okongwu,Atlanta Hawks,74,40,27.9,5.2,9.2,0.567,0.6,2.0,0.324,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,1630168
Mouhamed Gueye,Atlanta Hawks,33,28,16.2,2.2,5.2,0.421,0.6,2.5,0.259,1.0,1.3,0.762,1.3,2.9,4.2,0.8,0.8,1.0,0.5,1.7,6.0,1631243
Vít Krejčí,Atlanta Hawks,57,16,20.2,2.5,5.1,0.497,1.6,3.6,0.437,0.6,0.8,0.711,0.4,2.4,2.7,2.6,0.6,0.5,0.9,1.8,7.2,1630249
