,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER,TEAM_NAME
0,1629627,00,0,214,214,31.4,9.5,16.2,0.589,0.1,0.5,0.327,5.4,7.9,0.689,2.3,4.3,6.6,4.3,1.0,0.6,2.8,2.3,24.7,Zion Williamson,New Orleans Pelicans
1,1630529,00,0,240,231,30.2,3.7,7.7,0.477,1.0,2.8,0.366,1.8,2.2,0.824,1.2,2.6,3.8,2.5,1.6,0.7,1.3,3.1,10.1,Herbert Jones,New Orleans Pelicans
2,1629673,00,0,412,249,27.5,5.7,13.5,0.422,2.5,7.1,0.345,3.0,3.4,0.879,0.4,2.3,2.7,3.8,0.9,0.3,2.3,2.5,16.8,Jordan Poole,New Orleans Pelicans
3,1627749,00,0,503,432,29.3,6.2,13.6,0.453,1.2,3.5,0.34,2.0,2.5,0.79,0.9,4.9,5.8,5.4,1.5,0.3,2.1,1.8,15.5,Dejounte Murray,New Orleans Pelicans
4,1630531,00,0,110,6,8.8,1.0,2.5,0.409,0.2,0.9,0.238,0.6,0.8,0.773,0.5,0.9,1.4,0.8,0.6,0.2,0.5,1.1,2.9,Jaden Springer,New Orleans Pelicans
5,1631121,00,0,118,21,14.4,1.6,3.8,0.415,0.5,1.6,0.323,1.1,1.4,0.766,0.3,1.3,1.7,0.9,0.3,0.1,0.7,1.1,4.8,Bryce McGowens,New Orleans Pelicans
6,1630631,00,0,227,34,20.0,3.0,7.3,0.411,1.3,3.8,0.348,0.9,1.1,0.757,0.5,1.8,2.2,3.1,1.2,0.2,1.1,1.7,8.2,Jose Alvarado,New Orleans Pelicans
7,1631255,00,0,42,7,18.8,3.2,5.6,0.574,0.5,1.6,0.318,0.8,1.0,0.773,1.5,3.5,5.0,1.1,0.5,1.0,1.0,2.5,7.7,Karlo Matković,New Orleans Pelicans
8,1642274,00,0,73,67,26.8,3.7,6.7,0.547,0.0,0.0,0.0,1.7,2.8,0.623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,9.1,Yves Missi,New Orleans Pelicans
9,1641725,00,0,24,0,4.9,0.5,1.7,0.317,0.1,0.7,0.176,0.1,0.2,0.75,0.0,0.5,0.5,0.5,0.1,0.0,0.2,0.4,1.3,Trey Alexander,New Orleans Pelicans
10,1641722,00,0,123,19,20.2,3.1,8.2,0.376,1.8,5.1,0.348,1.2,1.4,0.826,0.4,2.0,2.5,1.1,0.4,0.2,0.8,1.0,9.2,Jordan Hawkins,New Orleans Pelicans
11,1630530,00,0,251,140,27.3,4.6,10.1,0.454,2.4,6.2,0.383,2.2,2.5,0.875,0.8,3.1,3.9,1.8,0.9,0.5,0.9,1.6,13.7,Trey Murphy III,New Orleans Pelicans
