PLAYER_ID,PLAYER,TEAM_NAME,TEAM_ID
1642365,Nikola Đurišić,Atlanta Hawks,1610612737
1642947,Eli John Ndiaye,Atlanta Hawks,1610612737
1631210,Jacob Toppin,Atlanta Hawks,1610612737
1630552,Jalen Johnson,Atlanta Hawks,1610612737
1631216,Caleb Houstan,Atlanta Hawks,1610612737
1630811,Keaton Wallace,Atlanta Hawks,1610612737
1642368,N'Faly Dante,Atlanta Hawks,1610612737
1628379,Luke Kennard,Atlanta Hawks,1610612737
1630700,Dyson Daniels,Atlanta Hawks,1610612737
1629638,Nickeil Alexander-Walker,Atlanta Hawks,1610612737
204001,Kristaps Porziņģis,Atlanta Hawks,1610612737
1642258,Zaccharie Risacher,Atlanta Hawks,1610612737
1629027,Trae Young,Atlanta Hawks,1610612737
1642854,Asa Newell,Atlanta Hawks,1610612737
1630168,Onyeka Okongwu,Atlanta Hawks,1610612737
1631243,Mouhamed Gueye,Atlanta Hawks,1610612737
1630249,Vít Krejčí,Atlanta Hawks,1610612737
1629646,Charles Bassey,Atlanta Hawks,1610612737
1642961,RJ Luis Jr.,Boston Celtics,1610612738
1628369,Jayson Tatum,Boston Celtics,1610612738
1629014,Anfernee Simons,Boston Celtics,1610612738
1627759,Jaylen Brown,Boston Celtics,1610612738
1631169,Josh Minott,Boston Celtics,1610612738
1631111,Wendell Moore Jr.,Boston Celtics,1610612738
1628401,Derrick White,Boston Celtics,1610612738
1631112,Kendall Brown,Boston Celtics,1610612738
1630202,Payton Pritchard,Boston Celtics,1610612738
1631199,Ron Harper Jr.,Boston Celtics,1610612738
1641779,Jalen Bridges,Boston Celtics,1610612738
1628449,Chris Boucher,Boston Celtics,1610612738
1630214,Xavier Tillman,Boston Celtics,1610612738
1641775,Jordan Walsh,Boston Celtics,1610612738
1642864,Hugo González,Boston Celtics,1610612738
1642917,Max Shulga,Boston Celtics,1610612738
1630573,Sam Hauser,Boston Celtics,1610612738
1630568,Luka Garza,Boston Celtics,1610612738
1631248,Baylor Scheierman,Boston Celtics,1610612738
1642873,Amari Williams,Boston Celtics,1610612738
1629674,Neemias Queta,Boston Celtics,1610612738
1641807,Norchad Omier,Cleveland Cavaliers,1610612739
1642046,Miller Kopp,Cleveland Cavaliers,1610612739
1642400,Tristan Enaruna,Cleveland Cavaliers,1610612739
1643052,Chaney Johnson,Cleveland Cavaliers,1610612739
1629622,Max Strus,Cleveland Cavaliers,1610612739
1628366,Lonzo Ball,Cleveland Cavaliers,1610612739
1628418,Thomas Bryant,Cleveland Cavaliers,1610612739
1630596,Evan Mobley,Cleveland Cavaliers,1610612739
1630241,Sam Merrill,Cleveland Cavaliers,1610612739
1630165,Killian Hayes,Cleveland Cavaliers,1610612739
1641854,Craig Porter Jr.,Cleveland Cavaliers,1610612739
1629636,Darius Garland,Cleveland Cavaliers,1610612739
1629631,De'Andre Hunter,Cleveland Cavaliers,1610612739
1642281,Jaylon Tyson,Cleveland Cavaliers,1610612739
1626204,Larry Nance Jr.,Cleveland Cavaliers,1610612739
1642878,Tyrese Proctor,Cleveland Cavaliers,1610612739
1641772,Nae'Qwan Tomlin,Cleveland Cavaliers,1610612739
1628386,Jarrett Allen,Cleveland Cavaliers,1610612739
1629731,Dean Wade,Cleveland Cavaliers,1610612739
1631247,Luke Travers,Cleveland Cavaliers,1610612739
1628378,Donovan Mitchell,Cleveland Cavaliers,1610612739
1642490,Josh Oduro,New Orleans Pelicans,1610612740
1642936,Chase Hunter,New Orleans Pelicans,1610612740
1643104,Christian Shumate,New Orleans Pelicans,1610612740
1642847,Jeremiah Fears,New Orleans Pelicans,1610612740
1629627,Zion Williamson,New Orleans Pelicans,1610612740
1630529,Herbert Jones,New Orleans Pelicans,1610612740
1629673,Jordan Poole,New Orleans Pelicans,1610612740
1630621,Hunter Dickinson,New Orleans Pelicans,1610612740
