JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Jalen Johnson,Atlanta Hawks,8,0,8.0,1.3,3.4,0.37,0.5,1.5,0.333,0.3,0.3,1.0,0.3,1.6,1.9,1.0,0.4,0.0,0.8,0.6,3.3,1630552
Luke Kennard,Atlanta Hawks,28,2,19.2,2.6,5.5,0.484,1.4,3.3,0.44,0.4,0.4,0.833,0.4,1.9,2.3,1.0,0.5,0.1,0.5,1.1,7.1,1628379
Dyson Daniels,Atlanta Hawks,3,0,5.3,0.7,2.0,0.333,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,0.3,0.0,1.3,1630700
Nickeil Alexander-Walker,Atlanta Hawks,37,5,22.7,2.8,7.1,0.389,1.5,4.6,0.331,0.8,0.8,0.903,0.4,1.4,1.8,2.2,0.5,0.4,1.1,1.5,7.8,1629638
Kristaps Porziņģis,Atlanta Hawks,28,21,25.8,3.9,9.0,0.43,1.1,3.5,0.313,3.1,3.9,0.798,1.3,4.0,5.2,1.0,0.9,1.0,0.8,2.5,11.9,204001
Trae Young,Atlanta Hawks,27,27,37.7,8.6,21.4,0.402,2.6,8.7,0.297,6.6,7.8,0.852,0.6,2.8,3.4,9.0,1.2,0.1,4.4,2.2,26.4,1629027
Onyeka Okongwu,Atlanta Hawks,29,1,13.9,1.4,2.5,0.569,0.0,0.1,0.5,0.9,1.4,0.659,1.8,2.1,3.9,0.4,0.4,0.9,0.5,2.2,3.8,1630168
Caleb Houstan,Atlanta Hawks,8,0,7.6,0.4,2.0,0.188,0.4,1.5,0.25,0.0,0.0,0.0,0.4,0.4,0.8,0.1,0.0,0.1,0.3,0.4,1.1,1631216
Jayson Tatum,Boston Celtics,121,121,39.0,8.1,18.5,0.439,2.4,6.9,0.348,5.6,6.7,0.841,1.0,7.2,8.2,4.9,1.2,0.9,2.9,2.6,24.3,1628369
Anfernee Simons,Boston Celtics,15,0,13.4,1.5,3.9,0.379,1.1,2.3,0.5,0.6,0.7,0.818,0.3,1.5,1.8,1.0,0.6,0.1,0.3,1.0,4.7,1629014
Jaylen Brown,Boston Celtics,135,115,33.5,7.2,15.0,0.482,1.9,5.5,0.354,2.9,4.0,0.727,1.1,4.6,5.7,2.6,1.0,0.4,2.4,2.8,19.3,1627759
Josh Minott,Boston Celtics,11,0,4.3,0.4,1.6,0.222,0.3,1.1,0.25,0.0,0.0,0.0,0.1,0.4,0.5,0.5,0.2,0.2,0.3,0.4,1.0,1631169
Derrick White,Boston Celtics,83,56,29.9,4.6,10.0,0.456,2.3,5.7,0.392,1.9,2.2,0.854,0.7,2.8,3.5,2.9,0.8,0.9,1.1,2.0,13.3,1628401
Payton Pritchard,Boston Celtics,69,0,15.8,2.2,5.0,0.435,1.2,3.2,0.37,0.5,0.6,0.833,0.5,1.3,1.8,1.7,0.3,0.0,0.6,1.0,6.0,1630202
Xavier Tillman,Boston Celtics,27,12,15.4,1.8,3.2,0.563,0.1,0.4,0.3,0.3,0.4,0.583,1.3,2.3,3.6,1.1,0.5,0.3,0.7,1.6,4.0,1630214
Jordan Walsh,Boston Celtics,8,0,3.3,0.1,0.5,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.3,1641775
Sam Hauser,Boston Celtics,49,0,10.4,1.2,2.9,0.404,0.9,2.4,0.361,0.2,0.2,1.0,0.3,1.2,1.4,0.4,0.1,0.1,0.1,0.8,3.4,1630573
Luka Garza,Boston Celtics,12,0,3.7,1.3,1.5,0.889,0.3,0.3,0.75,0.6,0.7,0.875,0.4,0.3,0.8,0.1,0.0,0.0,0.0,0.1,3.5,1630568
Baylor Scheierman,Boston Celtics,4,0,5.5,0.8,2.5,0.3,0.5,1.3,0.4,0.0,0.0,0.0,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.5,2.0,1631248
Neemias Queta,Boston Celtics,7,0,3.7,1.0,1.3,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.7,0.3,0.1,0.1,0.0,0.3,2.0,1629674
Chris Boucher,Boston Celtics,15,0,11.7,2.1,3.9,0.534,0.6,1.5,0.391,0.6,0.8,0.75,1.0,2.2,3.2,0.1,0.1,0.7,0.2,1.2,5.3,1628449
