JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Luke Kennard,Atlanta Hawks,4,0,20.0,2.0,4.5,0.444,0.5,2.3,0.222,0.0,0.0,0.0,0.5,3.0,3.5,2.0,1.0,0.3,1.5,0.8,4.5,1628379
Nickeil Alexander-Walker,Atlanta Hawks,15,0,20.7,2.9,7.5,0.389,1.5,4.2,0.349,1.0,1.1,0.882,0.5,1.3,1.8,2.3,0.4,0.3,1.5,1.6,8.3,1629638
Kristaps Porziņģis,Atlanta Hawks,11,7,21.0,2.3,7.2,0.316,0.4,2.4,0.154,2.8,4.1,0.689,1.9,2.7,4.6,0.7,0.9,0.8,0.9,2.4,7.7,204001
Caleb Houstan,Atlanta Hawks,5,0,9.4,0.4,2.8,0.143,0.4,2.0,0.2,0.0,0.0,0.0,0.4,0.4,0.8,0.2,0.0,0.2,0.4,0.6,1.2,1631216
Jayson Tatum,Boston Celtics,8,8,40.3,9.3,21.9,0.423,3.6,9.8,0.372,6.0,6.8,0.889,1.1,10.4,11.5,5.4,2.1,0.8,3.3,2.6,28.1,1628369
Jaylen Brown,Boston Celtics,11,11,36.5,7.8,17.7,0.441,1.9,5.7,0.333,4.5,6.0,0.758,1.2,5.9,7.1,3.9,1.0,0.3,3.5,3.2,22.1,1627759
Josh Minott,Boston Celtics,5,0,4.6,0.4,1.6,0.25,0.2,1.2,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.2,1.0,1631169
Derrick White,Boston Celtics,11,11,37.7,6.2,13.4,0.463,3.6,9.5,0.385,2.8,3.3,0.861,1.3,3.8,5.1,3.5,0.6,1.1,1.2,2.0,18.8,1628401
Payton Pritchard,Boston Celtics,11,0,27.5,4.1,9.0,0.455,2.5,6.1,0.403,1.3,1.5,0.824,0.8,1.5,2.3,1.5,0.5,0.0,0.8,1.7,11.9,1630202
Xavier Tillman,Boston Celtics,1,0,8.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1630214
Jordan Walsh,Boston Celtics,5,0,3.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1641775
Sam Hauser,Boston Celtics,8,0,13.5,1.3,3.0,0.417,0.9,2.6,0.333,0.1,0.1,1.0,0.0,1.5,1.5,0.5,0.1,0.1,0.4,1.4,3.5,1630573
Luka Garza,Boston Celtics,5,0,3.8,1.2,1.2,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.2,2.6,1630568
Baylor Scheierman,Boston Celtics,4,0,5.5,0.8,2.5,0.3,0.5,1.3,0.4,0.0,0.0,0.0,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.5,2.0,1631248
Neemias Queta,Boston Celtics,4,0,3.3,1.3,1.5,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.5,2.5,1629674
Max Strus,Cleveland Cavaliers,9,9,28.1,4.1,9.9,0.416,2.9,7.4,0.388,0.6,0.7,0.833,1.8,3.9,5.7,3.9,0.7,0.2,0.8,2.6,11.7,1629622
Thomas Bryant,Cleveland Cavaliers,20,0,8.4,0.8,1.7,0.485,0.5,0.9,0.5,0.6,0.7,0.786,0.4,1.0,1.4,0.2,0.2,0.3,0.4,1.3,2.6,1628418
Evan Mobley,Cleveland Cavaliers,8,8,32.1,6.4,10.9,0.586,1.8,3.9,0.452,2.6,3.1,0.84,2.6,5.5,8.1,1.6,1.1,1.0,1.4,1.3,17.1,1630596
Sam Merrill,Cleveland Cavaliers,8,3,19.9,1.9,5.0,0.375,1.8,4.9,0.359,0.3,0.4,0.667,0.9,1.6,2.5,1.8,0.5,0.3,0.3,2.3,5.8,1630241
Chris Livingston,Cleveland Cavaliers,2,0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1641753
Craig Porter Jr.,Cleveland Cavaliers,6,0,5.8,1.0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.5,0.3,0.3,0.3,2.0,1641854
Darius Garland,Cleveland Cavaliers,5,5,29.6,5.8,13.8,0.42,2.0,7.0,0.286,4.4,4.8,0.917,0.2,2.0,2.2,5.2,0.4,0.0,3.0,3.4,18.0,1629636
De'Andre Hunter,Cleveland Cavaliers,8,0,23.1,3.4,7.9,0.429,1.5,3.3,0.462,2.8,3.3,0.846,0.8,2.9,3.6,1.0,0.5,0.1,0.9,2.1,11.0,1629631
Jaylon Tyson,Cleveland Cavaliers,4,0,7.8,1.8,3.8,0.467,1.3,2.3,0.556,1.3,1.5,0.833,0.8,1.0,1.8,1.8,0.5,0.3,0.5,1.0,6.0,1642281
Jarrett Allen,Cleveland Cavaliers,9,9,29.0,4.9,6.8,0.721,0.0,0.0,0.0,3.7,3.9,0.943,2.3,6.1,8.4,1.3,1.4,0.9,1.9,1.7,13.4,1628386
Dean Wade,Cleveland Cavaliers,9,1,15.8,0.7,2.0,0.333,0.3,1.6,0.214,0.0,0.0,0.0,1.1,3.1,4.2,0.7,0.3,0.1,0.3,1.1,1.7,1629731
Donovan Mitchell,Cleveland Cavaliers,9,9,32.0,9.6,21.6,0.443,3.1,9.3,0.333,7.3,9.9,0.742,1.2,3.4,4.7,3.9,1.9,0.3,1.9,2.0,29.6,1628378
DeAndre Jordan,New Orleans Pelicans,7,0,5.1,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.1,1.1,1.3,0.3,0.0,0.1,0.3,1.3,0.9,201599
Kevon Looney,New Orleans Pelicans,12,0,10.0,0.8,1.9,0.435,0.0,0.0,0.0,0.5,0.7,0.75,1.4,2.2,3.6,0.3,0.4,0.3,0.2,2.3,2.2,1626172
Isaac Okoro,Chicago Bulls,9,0,14.2,1.7,3.3,0.5,0.7,1.8,0.375,0.6,0.9,0.625,0.4,0.8,1.2,0.6,0.7,0.1,0.4,1.4,4.6,1630171
Christian Braun,Denver Nuggets,14,14,38.9,4.8,10.6,0.453,1.5,5.0,0.3,1.6,2.2,0.71,1.8,4.6,6.4,2.4,1.2,0.7,1.0,3.4,12.6,1631128
Julian Strawther,Denver Nuggets,9,0,9.8,1.4,3.3,0.433,0.7,1.3,0.5,0.7,0.8,0.857,0.4,0.6,1.0,0.2,0.2,0.1,0.6,1.2,4.2,1631124
Hunter Tyson,Denver Nuggets,5,0,6.0,1.0,2.0,0.5,0.2,1.0,0.2,0.8,0.8,1.0,0.8,0.8,1.6,0.4,0.2,0.0,0.2,0.6,3.0,1641816
Peyton Watson,Denver Nuggets,14,0,14.2,1.7,4.2,0.407,0.5,1.4,0.368,0.6,1.1,0.5,1.0,1.9,2.9,0.3,0.8,0.6,0.6,1.5,4.5,1631212
Tim Hardaway Jr.,Denver Nuggets,6,6,31.3,4.0,11.8,0.338,2.7,8.7,0.308,1.3,1.7,0.8,0.3,2.5,2.8,1.2,0.3,0.0,1.5,1.7,12.0,203501
Nikola Jokić,Denver Nuggets,14,14,40.2,9.4,19.1,0.489,1.9,5.1,0.38,5.6,7.2,0.772,2.1,10.6,12.7,8.0,2.0,0.9,3.9,3.4,26.2,203999
Zeke Nnaji,Denver Nuggets,6,0,5.7,0.2,1.3,0.125,0.2,1.0,0.167,0.7,1.2,0.571,0.5,0.7,1.2,0.3,0.2,0.3,0.3,1.0,1.2,1630192
Jalen Pickett,Denver Nuggets,8,0,7.1,0.6,1.9,0.333,0.4,1.1,0.333,0.0,0.0,0.0,0.0,0.9,0.9,0.6,0.0,0.1,0.8,0.4,1.6,1629618
Jamal Murray,Denver Nuggets,14,14,41.3,7.9,17.9,0.444,2.4,6.9,0.354,3.5,4.0,0.875,0.6,4.2,4.9,5.2,1.2,0.8,3.1,2.2,21.8,1627750
Aaron Gordon,Denver Nuggets,14,14,37.3,5.8,11.9,0.485,1.6,4.1,0.379,3.1,3.6,0.86,3.6,4.0,7.6,2.7,0.6,0.4,1.9,2.4,16.2,203932
Gary Payton II,Golden State Warriors,11,1,16.4,1.9,4.3,0.447,0.8,2.1,0.391,0.0,0.0,0.0,0.9,1.3,2.2,1.5,0.9,0.0,0.5,1.9,4.6,1627780
Jonathan Kuminga,Golden State Warriors,8,1,23.4,5.6,11.6,0.484,1.3,3.1,0.4,2.8,3.9,0.71,0.9,1.6,2.5,1.3,0.5,0.5,1.6,1.6,15.3,1630228
Brandin Podziemski,Golden State Warriors,12,11,32.1,4.0,11.0,0.364,1.8,5.6,0.328,1.4,2.0,0.708,1.3,3.7,5.0,3.1,1.3,0.2,1.5,1.5,11.3,1641764
Moses Moody,Golden State Warriors,12,2,16.1,2.3,6.7,0.35,1.3,3.8,0.333,1.2,1.4,0.824,0.8,1.4,2.2,1.2,0.5,0.3,0.3,1.3,7.1,1630541
Buddy Hield,Golden State Warriors,12,9,27.3,4.3,10.4,0.416,2.8,6.4,0.429,1.1,1.2,0.929,1.5,2.0,3.5,1.8,1.2,0.4,1.1,2.0,12.5,1627741
Jimmy Butler III,Golden State Warriors,11,11,36.1,6.2,13.8,0.447,1.0,3.3,0.306,5.8,7.3,0.8,2.4,4.3,6.6,5.2,1.3,0.3,1.2,1.7,19.2,202710
Gui Santos,Golden State Warriors,10,0,7.2,0.9,1.7,0.529,0.4,1.0,0.4,0.4,0.6,0.667,0.3,0.9,1.2,0.8,0.3,0.1,0.6,1.0,2.6,1630611
Al Horford,Golden State Warriors,11,9,31.6,3.1,6.5,0.472,1.3,3.2,0.4,0.5,0.6,0.857,1.6,4.4,6.0,1.8,0.6,1.3,0.6,2.7,8.0,201143
Quinten Post,Golden State Warriors,12,2,12.2,1.3,4.0,0.333,0.8,2.7,0.313,0.3,0.3,0.75,0.5,1.8,2.3,1.0,0.3,0.3,0.5,1.7,3.8,1642366
Draymond Green,Golden State Warriors,12,12,32.4,3.5,9.0,0.389,1.3,5.0,0.267,0.8,1.1,0.692,0.8,4.8,5.5,3.8,1.4,0.9,3.0,3.7,9.1,203110
Stephen Curry,Golden State Warriors,8,8,35.1,7.8,16.3,0.477,4.0,10.0,0.4,3.1,3.5,0.893,0.3,5.0,5.3,5.1,1.0,0.8,3.4,1.6,22.6,201939
Trayce Jackson-Davis,Golden State Warriors,9,3,8.9,1.8,2.0,0.889,0.0,0.0,0.0,0.6,1.4,0.385,1.0,1.3,2.3,0.2,0.3,0.2,0.1,1.7,4.1,1631218
Pat Spencer,Golden State Warriors,8,0,7.9,2.0,3.1,0.64,0.1,0.4,0.333,0.4,0.4,1.0,0.6,0.8,1.4,0.8,0.4,0.0,0.8,1.1,4.5,1630311
Aaron Holiday,Houston Rockets,3,0,9.0,1.3,3.3,0.4,0.7,1.7,0.4,0.7,1.3,0.5,0.3,0.3,0.7,1.0,0.0,0.0,0.3,1.0,4.0,1628988
Amen Thompson,Houston Rockets,7,7,33.0,6.0,12.1,0.494,0.1,0.6,0.25,3.6,5.1,0.694,2.7,4.1,6.9,3.3,1.7,0.9,1.7,2.6,15.7,1641708
Dorian Finney-Smith,Houston Rockets,5,1,34.0,2.4,5.8,0.414,1.4,3.8,0.368,0.0,0.0,0.0,2.0,2.2,4.2,2.6,0.2,0.4,1.0,3.4,6.2,1627827
