player_name,Player_ID,SEASON,GAME_DATE,HOME_TEAM,AWAY_TEAM,Game_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,WL
Precious Achiuwa,1630173,2024-2025,"Apr 13, 2025",Brooklyn Nets,New York Knicks,22401188,33,8,18,0.444,0,0,0.0,2,4,0.5,1,8,2,2,0,2,4,18,19,W
Precious Achiuwa,1630173,2024-2025,"Apr 11, 2025",New York Knicks,Cleveland Cavaliers,22401175,15,0,5,0.0,0,0,0.0,0,0,0.0,0,6,0,2,1,1,2,0,-9,L
Precious Achiuwa,1630173,2024-2025,"Apr 10, 2025",Detroit Pistons,New York Knicks,22401167,40,8,13,0.615,1,4,0.25,1,1,1.0,1,9,3,2,3,0,3,18,-7,L
Precious Achiuwa,1630173,2024-2025,"Apr 05, 2025",Atlanta Hawks,New York Knicks,22401128,25,3,8,0.375,0,0,0.0,0,0,0.0,1,2,0,0,2,1,2,6,-10,W
Precious Achiuwa,1630173,2024-2025,"Apr 02, 2025",Cleveland Cavaliers,New York Knicks,22401103,21,5,9,0.556,0,0,0.0,3,4,0.75,2,4,1,1,2,0,1,13,-10,L
Precious Achiuwa,1630173,2024-2025,"Apr 01, 2025",New York Knicks,Philadelphia 76ers,22401098,27,1,11,0.091,0,0,0.0,0,2,0.0,3,6,1,1,1,2,1,2,8,W
Precious Achiuwa,1630173,2024-2025,"Mar 30, 2025",New York Knicks,Portland Trail Blazers,22401082,11,5,6,0.833,0,0,0.0,0,2,0.0,0,2,0,0,0,2,0,10,-2,W
Precious Achiuwa,1630173,2024-2025,"Mar 28, 2025",Milwaukee Bucks,New York Knicks,22401070,6,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0,0,0,0,1,0,9,W
Precious Achiuwa,1630173,2024-2025,"Mar 26, 2025",New York Knicks,Los Angeles Clippers,22401056,8,2,3,0.667,0,0,0.0,2,2,1.0,1,2,0,0,0,0,0,6,2,L
Precious Achiuwa,1630173,2024-2025,"Mar 25, 2025",New York Knicks,Dallas Mavericks,22401048,20,5,7,0.714,0,0,0.0,1,1,1.0,0,2,2,2,1,2,0,11,-1,W
Precious Achiuwa,1630173,2024-2025,"Mar 22, 2025",New York Knicks,Washington Wizards,22401026,12,2,3,0.667,0,0,0.0,0,0,0.0,3,2,2,0,0,1,0,4,11,W
Precious Achiuwa,1630173,2024-2025,"Mar 20, 2025",Charlotte Hornets,New York Knicks,22401010,17,1,5,0.2,0,2,0.0,0,2,0.0,2,4,0,1,0,2,3,2,-5,L
Precious Achiuwa,1630173,2024-2025,"Mar 19, 2025",San Antonio Spurs,New York Knicks,22401003,7,2,3,0.667,0,0,0.0,0,0,0.0,1,1,0,0,0,0,0,4,-14,L
